key;en_US
change-channel-text;Channel ID
change-channel-voice;Channel ID
change-channel;Change Channel
toggle-mute;Toggle Mute
toggle-deafen;Toggle Deafen
toggle-ptt;Toggle Push to Talk
actions.base.client_id;Client ID
actions.base.client_secret;Client Secret
actions.base.validate;Validate
actions.base.credentials.title;Discord Credentials
actions.info.link.label;Checkout how to configure this plugin on
actions.info.link.text;GitHub
actions.base.credentials.authenticated;Authenticated successfully
actions.base.credentials.failed;Failed to authenticate
actions.base.credentials.missing_client_info;Missing Client ID or Client Secret
